COUNTRY;ISO;REGION;CATEGORY;MEASURE;DATE IMPLEMENTED;SOURCE;LINK
Somalia;SOM;Africa;Movement restrictions;International flights suspension;19/03/2020;The Brief;https://www.thebrief.co.ke/foreign/somalia-temporarily-lifts-international-flights-ban-for-two-days/
Somalia;SOM;Africa;Public health measures;Isolation and quarantine policies;19/03/2020;Mustaqbal Radio;https://www.mustaqbalradio.net/somalia-to-quarantine-passengers-from-14-destinations-after-lift-ban-on-flights/
South Africa;ZAF;Africa;Public health measures;Testing policy;19/03/2020;Dep of Foreign Affairs Philippines;https://dfa.gov.ph/dfa-news/statements-and-advisoriesupdate/26378-public-advisory-on-the-travel-restrictions-to-south-africa
Spain;ESP;Europe;Public health measures;Strengthening the public health system;19/03/2020;Government;https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4815
Spain;ESP;Europe;Public health measures;Strengthening the public health system;19/03/2020;International Monetary Fund;https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19
Spain;ESP;Europe;Movement restrictions;Curfews;19/03/2020;El Pais;https://cincodias.elpais.com/cincodias/2020/03/18/economia/1584517303_362468.html
Sri Lanka;LKA;Asia;Movement restrictions;Curfews;19/03/2020;Colombo Page;http://www.colombopage.com/archive_20A/Mar20_1584722533CH.php
Sri Lanka;LKA;Asia;Social distancing;Limit public gatherings;19/03/2020;News.lk;https://news.lk/news/political-current-affairs/item/29779-all-sports-activities-halted-until-april-20
Sri Lanka;LKA;Asia;Governance and socio-economic measures;Economic measures;19/03/2020;News.lk;https://news.lk/news/politics/item/29778-sri-lanka-and-china-signs-agreement-for-us-500-million-concessionary-loan
Sudan;SDN;Africa;Governance and socio-economic measures;Emergency administrative structures activated or established;19/03/2020;ReliefWeb;https://reliefweb.int/report/sudan/sudan-flash-update-20-march-2020-20-march-2020-two-cases-covid-19-have-been-confirmed
Sweden;SWE;Europe;Movement restrictions;Border closure ;19/03/2020;Government;https://www.government.se/press-releases/2020/03/temporary-ban-on-travel-to-sweden-due-to-covid-19/
Switzerland;CHE;Europe;Movement restrictions;Visa restrictions;19/03/2020;Government of Switzerland;https://www.bag.admin.ch/bag/de/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html
Switzerland;CHE;Europe;Public health measures;General recommendations;19/03/2020;Government of Switzerland;https://www.bag.admin.ch/bag/de/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html
Switzerland;CHE;Europe;Public health measures;Strengthening the public health system;19/03/2020;Government of Switzerland;https://www.bag.admin.ch/bag/de/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html
Switzerland;CHE;Europe;Lockdown;Partial lockdown;19/03/2020;NZZ;https://www.nzz.ch/schweiz/schon-wieder-droht-ein-flickenteppich-das-ausgangsverbot-fuer-ueber-65-jaehrige-im-kanton-uri-widerspricht-wohl-bundesrecht-ld.1547466
Switzerland;CHE;Europe;Movement restrictions;Visa restrictions;19/03/2020;Federal Council;https://www.admin.ch/opc/de/official-compilation/2020/869.pdf
Switzerland;CHE;Europe;Movement restrictions;Visa restrictions;19/03/2020;Government of Liechtenstein;https://www.llv.li/medienmitteilungen/detail/3629/schweiz-stellt-die-erteilung-von-visa-ein
Syria;SYR;Middle East;Movement restrictions;Visa restrictions;19/03/2020;International SOS;https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS
Syria;SYR;Middle East;Social distancing;Schools closure ;19/03/2020;Middle East Eye;https://www.middleeasteye.net/news/coronavirus-syria-government-address-covid-19-no-cases
Syria;SYR;Middle East;Social distancing;Public services closure ;19/03/2020;Middle East Eye;https://www.middleeasteye.net/news/coronavirus-syria-government-address-covid-19-no-cases
Tunisia;TUN;Africa;Public health measures;Other public health measures enforced;19/03/2020;Ministere de la santé;https://www.facebook.com/santetunisie.rns.tn/posts/2964742076898210?__cft__[0]=AZVYLMrsovW1k4stefELQ2cTgw4_pDAGcy7bkqwVMRuVcDcuzhq4uyZJxirIWrxbBeD1mkqkM_bxMyVYUo5aRhiW5Z4NyRVkBAsLNKZYCNx13VA4gn48bnHyS0jmuyIx_Sf0qpcs9L2VSDoAuXsw4aRlZqdAr-sOu655f_D14FwHGg&__tn__=%2CP-R
United Arab Emirates;ARE;Middle East;Movement restrictions;Visa restrictions;19/03/2020;International SOS;https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS
United States of America;USA;Americas;Public health measures;Awareness campaigns;19/03/2020;CDC;https://www.cdc.gov/media/releases/2020/s0319-cdc-encourages-donating-blood.html
United States of America;USA;Americas;Public health measures;Strengthening the public health system;19/03/2020;CMS;https://www.cms.gov/newsroom/press-releases/cms-approves-washington-states-request-1135-medicaid-waivers
Uruguay;URY;Americas;Movement restrictions;International flights suspension;19/03/2020;Ministry of Foreign Affairs — France;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/uruguay/
Afghanistan;AFG;Asia;Governance and socio-economic measures;State of emergency declared;20/03/2020;Afghanistan MoPH;https://www.facebook.com/af.moph/posts/1047448245624354?__tn__=-R
Albania;ALB;Europe;Public health measures;Strengthening the public health system;20/03/2020;"Albania Ministry of Health ""MSHMS""";https://shendetesia.gov.al/31380-2/
Algeria;DZA;Africa;Social distancing;Public services closure ;20/03/2020;US embassy of Algeria;https://dz.usembassy.gov/covid-19-information/
Algeria;DZA;Africa;Movement restrictions;International flights suspension;20/03/2020;US embassy of Algeria;https://dz.usembassy.gov/covid-19-information/
Algeria;DZA;Africa;Public health measures;Awareness campaigns;20/03/2020;US embassy of Algeria;https://dz.usembassy.gov/covid-19-information/
Angola;AGO;Africa;Movement restrictions;International flights suspension;20/03/2020;GardaWorld;https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3
Angola;AGO;Africa;Movement restrictions;International flights suspension;20/03/2020;GardaWorld;https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3
Argentina;ARG;Americas;Governance and socio-economic measures;Economic measures;20/03/2020;Government — Argentina;https://www.argentina.gob.ar/coronavirus/medidas-gobierno
Argentina;ARG;Americas;Governance and socio-economic measures;Economic measures;20/03/2020;Government — Argentina;https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-98-2020-335793/texto
Australia;AUS;Pacific;Public health measures;Awareness campaigns;20/03/2020;Ministry of Health;https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available
Australia;AUS;Pacific;Governance and socio-economic measures;Economic measures;20/03/2020;Ministry of Health;https://www.health.gov.au/ministers/senator-the-hon-richard-colbeck/media/measures-to-support-senior-australians-and-those-who-care-for-them
Australia;AUS;Pacific;Movement restrictions;Border closure ;20/03/2020;Aust Govt;https://www.australia.gov.au
Australia;AUS;Pacific;Public health measures;Isolation and quarantine policies;20/03/2020;Aust Govt;https://www.australia.gov.au
Australia;AUS;Pacific;Governance and socio-economic measures;Economic measures;20/03/2020;Aust Govt;https://www.pm.gov.au/media/update-coronavirus-measures-0
Australia;AUS;Pacific;Social distancing;Limit public gatherings;20/03/2020;Aust Govt;https://www.pm.gov.au/media/update-coronavirus-measures-1
Australia;AUS;Pacific;Governance and socio-economic measures;Emergency administrative structures activated or established;20/03/2020;Aust Govt;https://www.pm.gov.au/media/update-coronavirus-measures-2
Australia;AUS;Pacific;Social distancing;Changes in prison-related policies;20/03/2020;Aust Govt;https://www.pm.gov.au/media/update-coronavirus-measures-2
Australia;AUS;Pacific;Social distancing;Limit public gatherings;20/03/2020;The Guardian;https://www.theguardian.com/australia-news/2020/mar/21/bondi-beach-closed-down-after-crowds-defy-ban-on-gatherings-of-more-than-500-people?utm_term=RWRpdG9yaWFsX0d1YXJkaWFuVG9kYXlVS19XZWVrZW5kLTIwMDMyMQ%3D%3D&utm_source=esp&utm_medium=Email&CMP=GTUK_email&utm_campaign=GuardianTodayUK
Bangladesh;BGD;Asia;Movement restrictions;Additional health/documents requirements upon arrival;20/03/2020;US Embassy;https://bd.usembassy.gov/health-alert-u-s-embassy-dhaka-bangladesh-4/
Barbados;BRB;Americas;Movement restrictions;Border closure ;20/03/2020;Gov. Info Services;https://gisbarbados.gov.bb/blog/no-shore-leave-for-cruise-workers/
Barbados;BRB;Americas;Public health measures;Awareness campaigns;20/03/2020;Gov. Info Services;https://gisbarbados.gov.bb/blog/transport-ministry-reassures-commuters/
Barbados;BRB;Americas;Public health measures;Awareness campaigns;20/03/2020;Gov. Info Services;https://gisbarbados.gov.bb/blog/helpline-set-up-for-the-elderly/
Barbados;BRB;Americas;Public health measures;Strengthening the public health system;20/03/2020;Gov. Info Services;https://gisbarbados.gov.bb/blog/out-patient-clinics-reduced-elective-surgeries-postponed/
Barbados;BRB;Americas;Public health measures;Testing policy;20/03/2020;Gov. Info Services;https://gisbarbados.gov.bb/blog/reduced-visiting-hours-at-qeh/
Belarus;BLR;Europe;Public health measures;General recommendations;20/03/2020;Media;https://eng.belta.by/society/view/belarusians-recommended-against-travel-abroad-129167-2020/?fbclid=IwAR3Oua_zewnnA5GXEOIdIzqu6xanGq3kf8SNI_IebiVOUOohXvWq2O-QLVI
Belgium;BEL;Europe;Public health measures;Strengthening the public health system;20/03/2020;Government;https://www.health.belgium.be/nl/news/covid-19-federale-financiele-steun-voor-de-ziekenhuizen
Belgium;BEL;Europe;Governance and socio-economic measures;Economic measures;20/03/2020;Government;https://www.belgium.be/nl/nieuws/2020/coronavirus_lancering_van_het_tweede_luik_van_het_federaal_plan_voor_sociale_en
Belgium;BEL;Europe;Movement restrictions;Border checks ;20/03/2020;IATA travel centre;https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
Belize;BLZ;Americas;Social distancing;Limit public gatherings;20/03/2020;MoH ;http://health.gov.bz/www/component/content/article/177-general-health/1025-new-measures-announced-to-protect-against-covid-19
Bolivia;BOL;Americas;Movement restrictions;Border closure ;20/03/2020;Ministry of Foreign Affairs — France;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/bolivie/
Bosnia and Herzegovina;BIH;Europe;Movement restrictions;Curfews;20/03/2020;International SOS;https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS
Botswana;BWA;Africa;Movement restrictions;Visa restrictions;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Movement restrictions;Visa restrictions;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Movement restrictions;Visa restrictions;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Movement restrictions;International flights suspension;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Botswana;BWA;Africa;Public health measures;General recommendations;20/03/2020;Ministry of Health;https://www.facebook.com/COVID19.MOHW.BW/photos/pcb.116218023336787/116217783336811/?type=3&theater
Brazil;BRA;Americas;Governance and socio-economic measures;Emergency administrative structures activated or established;20/03/2020;Official Diary of the Union ;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=20/03/2020&jornal=613&pagina=1
Brazil;BRA;Americas;Public health measures;Isolation and quarantine policies;20/03/2020;US Embassy of Brazil ;https://br.usembassy.gov/covid-19-information/
Brunei Darussalam;BRN;Asia;Public health measures;Health screenings in airports and border crossings;20/03/2020;Brunei MoH;http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/press%20releases/MEDIA%20STATEMENT%20ON%20THE%20CURRENT%20SITUATION%20OF%20THE%20COVID-19%20IN%20BRUNEI%20DARUSSALAM%20-%2019.03.2020.pdf
Brunei Darussalam;BRN;Asia;Public health measures;Isolation and quarantine policies;20/03/2020;Brunei MoH;http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/press%20releases/FINAL%20PRESS%20STATEMENT%20ENG%20COVID-19%20(20.03.2020).pdf
Bulgaria;BGR;Europe;Lockdown;Partial lockdown;20/03/2020;Bulgarian Ntnl. Television;https://www.bnt.bg/en/a/coronavirus-stricter-measures-in-place
Cabo Verde;CPV;Africa;Movement restrictions;Border closure ;20/03/2020;US Embassy in Cabo Verde;https://cv.usembassy.gov/covid-19-information/
Cabo Verde;CPV;Africa;Public health measures;Strengthening the public health system;20/03/2020;Cabo Verde Govt;https://www.governo.cv/linha-verde-8001112-com-boa-procura-e-capacidade-de-resposta-adequada-ulisses-correia-e-silva/
Cabo Verde;CPV;Africa;Social distancing;Schools closure ;20/03/2020;Cabo Verde Govt;https://www.governo.cv/primeiro-ministro-apoia-a-renovacao-do-estado-de-emergencia-com-os-fundamentos-e-o-figurino-propostos-pelo-presidente-da-republica/
Canada;CAN;Americas;Public health measures;Awareness campaigns;20/03/2020;Government of Canada;https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2020/72633a-eng.php
Canada;CAN;Americas;Public health measures;Strengthening the public health system;20/03/2020;Prime Minister of Canada;https://pm.gc.ca/en/news/news-releases/2020/03/20/prime-minister-announces-canadas-plan-mobilize-industry-fight-covid
Canada;CAN;Americas;Movement restrictions;Border closure ;20/03/2020;Prime Minister of Canada;https://pm.gc.ca/en/news/news-releases/2020/03/20/prime-minister-announces-temporary-border-agreement-united-states
Chad;TCD;Africa;Social distancing;Limit public gatherings;20/03/2020;Government — Chad;https://www.facebook.com/photo?fbid=2931801796857512&set=a.1413843668653340
Chad;TCD;Africa;Social distancing;Limit public gatherings;20/03/2020;Government — Chad;https://www.facebook.com/photo?fbid=2929051373799221&set=a.1413843668653340
China;CHN;Asia;Movement restrictions;International flights suspension;20/03/2020;NHC of the PRC;http://en.nhc.gov.cn/2020-03/20/c_78025.htm
China, Hong Kong Special Administrative Region;HKG;Asia;Public health measures;Isolation and quarantine policies;20/03/2020;Government Website;https://www.news.gov.hk/eng/2020/03/20200318/20200318_211807_723.html?type=category&name=covid19&tl=t
Colombia;COL;Americas;Public health measures;Isolation and quarantine policies;20/03/2020;Health Ministry — Colombia;https://www.minsalud.gov.co/Paginas/A-partir-de-este-viernes-la-poblacion-mayor-de-70-anos-estara-en-aislamiento-preventivo.aspx
Colombia;COL;Americas;Social distancing;Limit public gatherings;20/03/2020;Health Ministry — Colombia;https://www.minsalud.gov.co/Paginas/Por-COVID-19-se-limitan-eventos-masivos-a-50-personas.aspx
Comoros;COM;Africa;Movement restrictions;Domestic travel restrictions;20/03/2020;US Embassy;https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/march-16-2020-restrictions-announced-by-president-azali-to-combat-covid-19-2/
Comoros;COM;Africa;Social distancing;Limit public gatherings;20/03/2020;US Embassy;https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/march-16-2020-restrictions-announced-by-president-azali-to-combat-covid-19-2/
Congo;COG;Africa;Public health measures;Awareness campaigns;20/03/2020;Health Ministry — Congo;http://www.sante.gouv.cg/
Congo DR;COD;Africa;Movement restrictions;International flights suspension;20/03/2020;Ministry of Foreign Affairs — France;https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/
Congo DR;COD;Africa;Public health measures;Isolation and quarantine policies;20/03/2020;US Embassy;https://cd.usembassy.gov/covid-19-information/
Croatia;HRV;Europe;Public health measures;Strengthening the public health system;20/03/2020;Government;https://vlada.gov.hr/news/plenkovic-commends-speedy-erection-of-medical-camp-outside-dubrava-hospital/29055
Cuba;CUB;Americas;Governance and socio-economic measures;Economic measures;20/03/2020;Government — Cuba;http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/#anexo-1339179
Cyprus;CYP;Europe;Public health measures;Strengthening the public health system;20/03/2020;Ministry of foreign affairs - Cyprus;https://www.pio.gov.cy/coronavirus/en/press/20032020_12.pdf
Djibouti;DJI;Africa;Social distancing;Public services closure ;20/03/2020;Ministere de la Santé Djibouti;https://www.facebook.com/photo?fbid=2949550578417190&set=a.1390385961000334
Djibouti;DJI;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministere de la Santé Djibouti;https://www.facebook.com/photo?fbid=2949550578417190&set=a.1390385961000334
Dominica;DMA;Americas;Public health measures;Strengthening the public health system;20/03/2020;Dominica News Online;https://dominicanewsonline.com/news/homepage/news/standpipes-being-installed-in-roseau-to-facilitate-hand-washing/
Dominican Republic;DOM;Americas;Movement restrictions;Curfews;20/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus
Eswatini;SWZ;Africa;Movement restrictions;Visa restrictions;20/03/2020;Government;http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement
Ethiopia;ETH;Africa;Public health measures;Isolation and quarantine policies;20/03/2020;Office of the Prime Minister ;https://twitter.com/BerhaneSamson/status/1241040838156746754/photo/1
Ethiopia;ETH;Africa;Social distancing;Public services closure ;20/03/2020;Office of the Prime Minister ;https://twitter.com/BerhaneSamson/status/1241040838156746754/photo/1
Ethiopia;ETH;Africa;Governance and socio-economic measures;Emergency administrative structures activated or established;20/03/2020;Office of the Prime Minister ;https://twitter.com/BerhaneSamson/status/1241040838156746754/photo/1
Finland;FIN;Europe;Social distancing;Schools closure ;20/03/2020;YLE state media;https://yle.fi/uutiset/osasto/news/finland_revises_ruling_pupils_in_grades_1-3_can_go_back_to_school/11267916
Finland;FIN;Europe;Public health measures;Isolation and quarantine policies;20/03/2020;IATA travel centre;https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
Finland;FIN;Europe;Governance and socio-economic measures;Economic measures;20/03/2020;International Monetary Fund;https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19
France;FRA;Europe;Public health measures;Amendments to funeral and burial regulations;20/03/2020;Government;https://www.gouvernement.fr/info-coronavirus
Haiti;HTI;Americas;Movement restrictions;Border closure ;20/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/haiti/health
Haiti;HTI;Americas;Movement restrictions;Curfews;20/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/haiti/health
Haiti;HTI;Americas;Social distancing;Schools closure ;20/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/haiti/health
Haiti;HTI;Americas;Lockdown;Partial lockdown;20/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/haiti/health
Haiti;HTI;Americas;Social distancing;Limit public gatherings;20/03/2020;Foreign Ministry — UK;https://www.gov.uk/foreign-travel-advice/haiti/health
Hungary;HUN;Europe;Governance and socio-economic measures;Emergency administrative structures activated or established;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-fm-says-special-working-groups-are-helping-hungarians-return-home-from-abroad/
Hungary;HUN;Europe;Governance and socio-economic measures;Economic measures;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-finance-minister-meets-with-hungarian-banking-association-to-discuss-new-economic-measures/
Hungary;HUN;Europe;Governance and socio-economic measures;Military deployment;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-defense-ministry-sets-up-operative-groups-to-ensure-operation-of-essential-services/
Hungary;HUN;Europe;Public health measures;Isolation and quarantine policies;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-persons-displaying-mild-symptoms-must-stay-in-home-quarantine/
Hungary;HUN;Europe;Social distancing;Public services closure ;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-national-utilities-nkm-group-companies-are-also-suspending-the-reading-of-public-utility-meters/
Hungary;HUN;Europe;Governance and socio-economic measures;Economic measures;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/new-regulations-concerning-package-deliveries-and-emergency-public-procurements/
Hungary;HUN;Europe;Governance and socio-economic measures;Emergency administrative structures activated or established;20/03/2020;Official Website;http://abouthungary.hu/news-in-brief/coronavirus-update-government-sets-up-a-humanitarian-corridor-for-romanians-making-their-way-from-austria-to-their-homeland/
Iceland;ISL;Europe;Movement restrictions;Border closure ;20/03/2020;Directorate of Health;https://www.covid.is/sub-categories/tourists
India;IND;Asia;Public health measures;Isolation and quarantine policies;20/03/2020;India's MoHFW;https://www.mohfw.gov.in/pdf/ICMRrevisedtestingstrategyforCOVID.pdf
India;IND;Asia;Public health measures;Testing policy;20/03/2020;India's MoHFW;https://www.mohfw.gov.in/pdf/ICMRrevisedtestingstrategyforCOVID.pdf
Indonesia;IDN;Asia;Public health measures;General recommendations;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Movement restrictions;Surveillance and monitoring;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Movement restrictions;Visa restrictions;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Movement restrictions;Additional health/documents requirements upon arrival;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Movement restrictions;Visa restrictions;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Public health measures;Isolation and quarantine policies;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Public health measures;General recommendations;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Indonesia;IDN;Asia;Movement restrictions;Visa restrictions;20/03/2020;Indonesia MoFA;https://kemlu.go.id/portal/en/read/1135/siaran_pers/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response
Italy;ITA;Europe;Lockdown;Partial lockdown;20/03/2020;Ministry of Health;http://www.salute.gov.it/imgs/C_17_notizie_4283_0_file.pdf
Italy;ITA;Europe;Governance and socio-economic measures;Military deployment;20/03/2020;Ministry of the Interior;https://www.interno.gov.it/it/notizie/piu-soldati-napoli-e-salerno-contro-lemergenza-covid-19
Italy;ITA;Europe;Governance and socio-economic measures;Military deployment;20/03/2020;Ministry of the Interior;https://www.interno.gov.it/it/notizie/caltanissetta-misure-ritiro-pensioni-sicurezza-presso-uffici-postali
Italy;ITA;Europe;Social distancing;Public services closure ;20/03/2020;Ministry of the Interior;https://www.interno.gov.it/it/notizie/nuove-limitazioni-provincia-lecco-chiusi-cimiteri-piste-ciclabili-casette-acqua-e-latte
Italy;ITA;Europe;Governance and socio-economic measures;Economic measures;20/03/2020;Bank of Italy;https://www.bancaditalia.it/media/comunicati/documenti/2020-01/Deadlines-extension-COVID-19.pdf?language_id=1
Jamaica;JAM;Americas;Public health measures;Health screenings in airports and border crossings;20/03/2020;US Embassy;https://jm.usembassy.gov/health-alert-u-s-embassy-kingston-jamaica-march-20-2020/
Japan;JPN;Asia;Social distancing;Schools closure ;20/03/2020;Japan MHLW;https://www.mhlw.go.jp/stf/seisakunitsuite/newpage_00002.html
Japan;JPN;Asia;Social distancing;Limit public gatherings;20/03/2020;Japan MHLW;https://www.mhlw.go.jp/stf/seisakunitsuite/newpage_00002.html
Jordan;JOR;Middle East;Social distancing;Changes in prison-related policies;20/03/2020;Human Rights Watch;https://www.hrw.org/news/2020/03/20/jordan-state-emergency-declared
Kazakhstan;KAZ;Asia;Public health measures;Strengthening the public health system;20/03/2020;Kazakh TV;https://kazakh-tv.kz/en/view/society/page_209493_covid19-prevention-center-opens-in-shymkent
Korea DPR;PRK;Asia;Public health measures;Strengthening the public health system;20/03/2020;Korea DPR Website;http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2020-03-20-0004
Korea Republic of;KOR;Asia;Public health measures;Psychological assistance and medical social work;20/03/2020;KCDC;https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366611&tag=&nPage=1
Lao PDR;LAO;Asia;Movement restrictions;Visa restrictions;20/03/2020;US Embassy in Laos;https://la.usembassy.gov/health-alert-u-s-embassy-vientiane-laos/
Lithuania;LTU;Europe;Public health measures;Strengthening the public health system;20/03/2020;LRT news;https://www.lrt.lt/en/news-in-english/19/1153522/lithuania-buying-2m-respirators-and-6m-masks-from-china
Luxembourg;LUX;Europe;Social distancing;Public services closure ;20/03/2020;Government;https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/23-adaptations-transport.html
Madagascar;MDG;Africa;Movement restrictions;Visa restrictions;20/03/2020;Ministry of Foreign Affairs - Italy;http://www.viaggiaresicuri.it
Malawi;MWI;Africa;Governance and socio-economic measures;State of emergency declared;20/03/2020;Journal du Cameroon;https://www.journalducameroun.com/en/malawi-mutharika-declares-coronavirus-state-of-disaster/
Malawi;MWI;Africa;Public health measures;Health screenings in airports and border crossings;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Malawi;MWI;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Malawi;MWI;Africa;Public health measures;General recommendations;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Malawi;MWI;Africa;Social distancing;Limit public gatherings;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Malawi;MWI;Africa;Movement restrictions;Visa restrictions;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Malawi;MWI;Africa;Movement restrictions;Visa restrictions;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Malawi;MWI;Africa;Public health measures;Isolation and quarantine policies;20/03/2020;Ministry of Health;https://www.facebook.com/malawimoh/posts/2724685064253658?__tn__=K-R
Maldives;MDV;Asia;Governance and socio-economic measures;Economic measures;20/03/2020;The President's Office;https://presidency.gov.mv/Press/Article/23247
